status_checking_account,duration_months,credit_history,purpose,amount,savings,unemployed_since,instalment_rate,personal_status_and_sex,other_debtors,present_residence_since,property,age,other_instalment_plans,housing,existing_credits,job,people_liable_for_maintenance,telephone,foreign_worker,output
b'... <    0 DM',b'21',b'delay in paying off in the past',b'education',"b'(2852.4, 3590.0]'",b'... <  100 DM',b'... < 1 year',b'2',b'male   : single',b'none',b'1',b'if not A121 : building society savings agreement/life insurance',"b'(23.0, 26.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'no checking account',b'30',b'all credits at this bank paid back duly',b'car (used)',b'nan',b'unknown/ no savings account',b'unemployed',b'4',b'female : divorced/separated/married',b'none',b'1',b'real estate',"b'(45.0, 53.0]'",b'bank',b'own',b'1',b'management/ self-employed/highly qualified employee/ officer',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'... <    0 DM',b'12',b'existing credits paid back duly till now',b'furniture/equipment',"b'(2319.5, 2852.4]'",b'... <  100 DM',b'1  <= ... < 4 years',b'2',b'male   : divorced/separated',b'none',b'1',"b'if not A121/A122 : car or other, not in attribute 6'","b'(39.0, 45.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'... <    0 DM',b'6',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(249.0, 932.0]'",b'500 <= ... < 1000 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',"b'if not A121/A122 : car or other, not in attribute 6'","b'(45.0, 53.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'no checking account',b'12',b'existing credits paid back duly till now',b'radio/television',"b'(1906.8, 2319.5]'",b'... <  100 DM',b'4  <= ... < 7 years',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(30.0, 33.0]'",b'none',b'rent',b'2',b'management/ self-employed/highly qualified employee/ officer',b'2',"b'yes, registered under the customers name'",b'yes',b'1'
b'... <    0 DM',b'21',b'critical account/other credits existing (not at this bank)',b'car (new)',"b'(249.0, 932.0]'",b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',b'real estate',b'nan',b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'no checking account',b'36',b'delay in paying off in the past',b'business',b'nan',b'... <  100 DM',b'... < 1 year',b'1',b'male   : divorced/separated',b'none',b'1',"b'if not A121/A122 : car or other, not in attribute 6'","b'(26.0, 28.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'0 <= ... <  200 DM',b'36',b'delay in paying off in the past',b'business',"b'(3590.0, 4720.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'2',b'male   : divorced/separated',b'none',b'2',b'real estate',"b'(28.0, 30.0]'",b'stores',b'own',b'2',b'management/ self-employed/highly qualified employee/ officer',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'... <    0 DM',b'21',b'all credits at this bank paid back duly',b'car (new)',"b'(1479.4, 1906.8]'",b'unknown/ no savings account',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'2',b'if not A121 : building society savings agreement/life insurance',"b'(39.0, 45.0]'",b'none',b'own',b'2',b'unskilled - resident',b'2',b'none',b'yes',b'2'
b'no checking account',b'24',b'critical account/other credits existing (not at this bank)',b'furniture/equipment',"b'(3590.0, 4720.0]'",b'.. >= 1000 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'4',b'real estate',"b'(45.0, 53.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'0 <= ... <  200 DM',b'18',b'critical account/other credits existing (not at this bank)',b'car (new)',"b'(249.0, 932.0]'",b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',"b'if not A121/A122 : car or other, not in attribute 6'","b'(33.0, 36.0]'",b'bank',b'own',b'1',b'skilled employee / official',b'2',"b'yes, registered under the customers name'",b'yes',b'2'
b'no checking account',b'15',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(1262.0, 1479.4]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'2',b'if not A121 : building society savings agreement/life insurance',"b'(30.0, 33.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'0 <= ... <  200 DM',b'9',b'all credits at this bank paid back duly',b'car (used)',"b'(4720.0, 7180.4]'",b'... <  100 DM',b'.. >= 7 years',b'2',b'female : divorced/separated/married',b'none',b'4',b'unknown / no property',b'nan',b'bank',b'for free',b'1',b'management/ self-employed/highly qualified employee/ officer',b'2',"b'yes, registered under the customers name'",b'yes',b'2'
b'0 <= ... <  200 DM',b'16',b'critical account/other credits existing (not at this bank)',b'car (new)',"b'(932.0, 1262.0]'",b'... <  100 DM',b'unemployed',b'2',b'male   : single',b'none',b'3',"b'if not A121/A122 : car or other, not in attribute 6'",b'nan',b'none',b'for free',b'3',b'unemployed/ unskilled  - non-resident',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'... <    0 DM',b'12',b'existing credits paid back duly till now',b'radio/television',"b'(249.0, 932.0]'",b'100 <= ... <  500 DM',b'4  <= ... < 7 years',b'4',b'male   : married/widowed',b'none',b'1',b'if not A121 : building society savings agreement/life insurance',"b'(18.0, 23.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'0 <= ... <  200 DM',b'18',b'no credits taken/all credits paid back duly',b'furniture/equipment',"b'(2852.4, 3590.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'1',b'female : divorced/separated/married',b'none',b'4',"b'if not A121/A122 : car or other, not in attribute 6'","b'(30.0, 33.0]'",b'bank',b'own',b'2',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'no checking account',b'24',b'existing credits paid back duly till now',b'business',"b'(3590.0, 4720.0]'",b'.. >= 1000 DM',b'1  <= ... < 4 years',b'2',b'male   : single',b'none',b'3',b'if not A121 : building society savings agreement/life insurance',b'nan',b'none',b'own',b'3',b'management/ self-employed/highly qualified employee/ officer',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'0 <= ... <  200 DM',b'48',b'no credits taken/all credits paid back duly',b'business',"b'(3590.0, 4720.0]'",b'100 <= ... <  500 DM',b'4  <= ... < 7 years',b'4',b'male   : single',b'none',b'4',b'unknown / no property',"b'(33.0, 36.0]'",b'none',b'for free',b'1',b'unskilled - resident',b'2',b'none',b'yes',b'2'
b'0 <= ... <  200 DM',b'27',b'existing credits paid back duly till now',b'business',"b'(3590.0, 4720.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(33.0, 36.0]'",b'none',b'own',b'1',b'skilled employee / official',b'2',"b'yes, registered under the customers name'",b'yes',b'2'
b'no checking account',b'6',b'existing credits paid back duly till now',b'radio/television',"b'(1906.8, 2319.5]'",b'... <  100 DM',b'4  <= ... < 7 years',b'2',b'male   : married/widowed',b'none',b'2',b'real estate',"b'(28.0, 30.0]'",b'none',b'rent',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'0 <= ... <  200 DM',b'45',b'existing credits paid back duly till now',b'radio/television',"b'(2852.4, 3590.0]'",b'100 <= ... <  500 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'guarantor',b'4',b'if not A121 : building society savings agreement/life insurance',"b'(18.0, 23.0]'",b'none',b'rent',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'0 <= ... <  200 DM',b'9',b'critical account/other credits existing (not at this bank)',b'education',"b'(1479.4, 1906.8]'",b'... <  100 DM',b'.. >= 7 years',b'2',b'female : divorced/separated/married',b'none',b'3',"b'if not A121/A122 : car or other, not in attribute 6'","b'(33.0, 36.0]'",b'none',b'own',b'2',b'management/ self-employed/highly qualified employee/ officer',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'no checking account',b'6',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(1262.0, 1479.4]'",b'... <  100 DM',b'1  <= ... < 4 years',b'1',b'female : divorced/separated/married',b'none',b'1',"b'if not A121/A122 : car or other, not in attribute 6'","b'(26.0, 28.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'0 <= ... <  200 DM',b'12',b'existing credits paid back duly till now',b'furniture/equipment',"b'(932.0, 1262.0]'",b'100 <= ... <  500 DM',b'... < 1 year',b'4',b'female : divorced/separated/married',b'none',b'4',"b'if not A121/A122 : car or other, not in attribute 6'","b'(26.0, 28.0]'",b'bank',b'rent',b'4',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'0 <= ... <  200 DM',b'24',b'existing credits paid back duly till now',b'car (used)',"b'(2319.5, 2852.4]'",b'unknown/ no savings account',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',b'unknown / no property',"b'(33.0, 36.0]'",b'bank',b'for free',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'0 <= ... <  200 DM',b'18',b'delay in paying off in the past',b'furniture/equipment',"b'(3590.0, 4720.0]'",b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : divorced/separated',b'none',b'3',b'unknown / no property',"b'(39.0, 45.0]'",b'none',b'own',b'1',b'management/ self-employed/highly qualified employee/ officer',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'no checking account',b'9',b'critical account/other credits existing (not at this bank)',b'education',"b'(932.0, 1262.0]'",b'500 <= ... < 1000 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(45.0, 53.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'... <    0 DM',b'12',b'existing credits paid back duly till now',b'car (new)',"b'(932.0, 1262.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'male   : married/widowed',b'none',b'3',b'real estate',"b'(26.0, 28.0]'",b'none',b'own',b'1',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'no checking account',b'27',b'delay in paying off in the past',b'business',"b'(4720.0, 7180.4]'",b'... <  100 DM',b'4  <= ... < 7 years',b'3',b'male   : single',b'none',b'4',"b'if not A121/A122 : car or other, not in attribute 6'","b'(23.0, 26.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'... <    0 DM',b'12',b'existing credits paid back duly till now',b'retraining',"b'(249.0, 932.0]'",b'... <  100 DM',b'4  <= ... < 7 years',b'4',b'male   : married/widowed',b'none',b'4',b'if not A121 : building society savings agreement/life insurance',"b'(18.0, 23.0]'",b'none',b'rent',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'no checking account',b'12',b'critical account/other credits existing (not at this bank)',b'car (new)',"b'(1479.4, 1906.8]'",b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'1',b'real estate',"b'(36.0, 39.0]'",b'none',b'own',b'2',b'unskilled - resident',b'2',b'none',b'yes',b'1'
b'... <    0 DM',b'30',b'critical account/other credits existing (not at this bank)',b'car (used)',b'nan',b'... <  100 DM',b'.. >= 7 years',b'3',b'male   : single',b'none',b'4',b'unknown / no property',"b'(36.0, 39.0]'",b'none',b'for free',b'3',b'management/ self-employed/highly qualified employee/ officer',b'2',"b'yes, registered under the customers name'",b'yes',b'1'
b'no checking account',b'12',b'critical account/other credits existing (not at this bank)',b'furniture/equipment',"b'(1906.8, 2319.5]'",b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',b'real estate',"b'(39.0, 45.0]'",b'none',b'own',b'3',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'0 <= ... <  200 DM',b'12',b'critical account/other credits existing (not at this bank)',b'domestic appliances',"b'(1262.0, 1479.4]'",b'... <  100 DM',b'4  <= ... < 7 years',b'4',b'male   : single',b'none',b'3',b'if not A121 : building society savings agreement/life insurance',"b'(23.0, 26.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'... <    0 DM',b'24',b'existing credits paid back duly till now',b'business',"b'(4720.0, 7180.4]'",b'... <  100 DM',b'1  <= ... < 4 years',b'2',b'male   : married/widowed',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(18.0, 23.0]'",b'stores',b'own',b'1',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'no checking account',b'12',b'existing credits paid back duly till now',b'car (used)',"b'(1262.0, 1479.4]'",b'.. >= 1000 DM',b'4  <= ... < 7 years',b'3',b'male   : single',b'none',b'2',b'if not A121 : building society savings agreement/life insurance',b'nan',b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'no',b'1'
b'no checking account',b'9',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(2852.4, 3590.0]'",b'unknown/ no savings account',b'1  <= ... < 4 years',b'1',b'male   : single',b'none',b'2',b'real estate',"b'(30.0, 33.0]'",b'none',b'own',b'2',b'skilled employee / official',b'2',b'none',b'yes',b'1'
b'no checking account',b'36',b'existing credits paid back duly till now',b'radio/television',"b'(3590.0, 4720.0]'",b'unknown/ no savings account',b'.. >= 7 years',b'2',b'female : divorced/separated/married',b'none',b'4',b'real estate',"b'(39.0, 45.0]'",b'none',b'own',b'1',b'unskilled - resident',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'... <    0 DM',b'27',b'no credits taken/all credits paid back duly',b'business',"b'(4720.0, 7180.4]'",b'... <  100 DM',b'unemployed',b'2',b'male   : single',b'none',b'4',b'if not A121 : building society savings agreement/life insurance',"b'(45.0, 53.0]'",b'stores',b'own',b'2',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'... >= 200 DM / salary assignments for at least 1 year',b'30',b'delay in paying off in the past',b'business',"b'(1906.8, 2319.5]'",b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',b'real estate',b'nan',b'none',b'own',b'1',b'management/ self-employed/highly qualified employee/ officer',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'no checking account',b'36',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(2852.4, 3590.0]'",b'unknown/ no savings account',b'.. >= 7 years',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(45.0, 53.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'0 <= ... <  200 DM',b'6',b'critical account/other credits existing (not at this bank)',b'retraining',"b'(249.0, 932.0]'",b'unknown/ no savings account',b'4  <= ... < 7 years',b'1',b'female : divorced/separated/married',b'none',b'3',b'if not A121 : building society savings agreement/life insurance',"b'(36.0, 39.0]'",b'none',b'own',b'2',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'... <    0 DM',b'18',b'no credits taken/all credits paid back duly',b'business',"b'(2852.4, 3590.0]'",b'... <  100 DM',b'4  <= ... < 7 years',b'3',b'male   : single',b'none',b'1',b'if not A121 : building society savings agreement/life insurance',"b'(30.0, 33.0]'",b'bank',b'own',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'... >= 200 DM / salary assignments for at least 1 year',b'36',b'existing credits paid back duly till now',b'radio/television',"b'(3590.0, 4720.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'2',b'male   : single',b'none',b'2',b'real estate',"b'(18.0, 23.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'... <    0 DM',b'24',b'existing credits paid back duly till now',b'furniture/equipment',"b'(2852.4, 3590.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'2',b'male   : divorced/separated',b'none',b'2',b'real estate',"b'(23.0, 26.0]'",b'none',b'rent',b'1',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'no checking account',b'10',b'existing credits paid back duly till now',b'car (new)',"b'(1262.0, 1479.4]'",b'... <  100 DM',b'1  <= ... < 4 years',b'2',b'female : divorced/separated/married',b'none',b'4',"b'if not A121/A122 : car or other, not in attribute 6'",b'nan',b'none',b'own',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'0 <= ... <  200 DM',b'12',b'existing credits paid back duly till now',b'radio/television',"b'(249.0, 932.0]'",b'... <  100 DM',b'... < 1 year',b'4',b'male   : married/widowed',b'guarantor',b'1',b'real estate',"b'(23.0, 26.0]'",b'bank',b'own',b'1',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'... <    0 DM',b'12',b'existing credits paid back duly till now',b'education',"b'(932.0, 1262.0]'",b'unknown/ no savings account',b'1  <= ... < 4 years',b'4',b'female : divorced/separated/married',b'none',b'4',b'if not A121 : building society savings agreement/life insurance',"b'(18.0, 23.0]'",b'bank',b'rent',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'no checking account',b'12',b'existing credits paid back duly till now',b'radio/television',"b'(249.0, 932.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'2',b'real estate',"b'(28.0, 30.0]'",b'bank',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'no checking account',b'24',b'delay in paying off in the past',b'business',"b'(2852.4, 3590.0]'",b'unknown/ no savings account',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'4',b'real estate',"b'(30.0, 33.0]'",b'none',b'own',b'2',b'skilled employee / official',b'2',"b'yes, registered under the customers name'",b'yes',b'1'
b'no checking account',b'15',b'existing credits paid back duly till now',b'car (used)',"b'(3590.0, 4720.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'3',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(28.0, 30.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'no checking account',b'36',b'no credits taken/all credits paid back duly',b'repairs',"b'(2319.5, 2852.4]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(26.0, 28.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'0 <= ... <  200 DM',b'48',b'existing credits paid back duly till now',b'radio/television',b'nan',b'.. >= 1000 DM',b'4  <= ... < 7 years',b'1',b'male   : single',b'co-applicant',b'2',b'unknown / no property',"b'(26.0, 28.0]'",b'bank',b'own',b'2',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'... <    0 DM',b'12',b'existing credits paid back duly till now',b'furniture/equipment',b'nan',b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',b'unknown / no property',"b'(45.0, 53.0]'",b'none',b'for free',b'1',b'management/ self-employed/highly qualified employee/ officer',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'no checking account',b'9',b'existing credits paid back duly till now',b'radio/television',"b'(1262.0, 1479.4]'",b'... <  100 DM',b'4  <= ... < 7 years',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(18.0, 23.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'... <    0 DM',b'24',b'existing credits paid back duly till now',b'furniture/equipment',"b'(2852.4, 3590.0]'",b'... <  100 DM',b'... < 1 year',b'4',b'male   : single',b'none',b'1',b'unknown / no property',"b'(18.0, 23.0]'",b'bank',b'for free',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'... >= 200 DM / salary assignments for at least 1 year',b'36',b'existing credits paid back duly till now',b'radio/television',"b'(3590.0, 4720.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(23.0, 26.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'no checking account',b'9',b'existing credits paid back duly till now',b'car (new)',"b'(2319.5, 2852.4]'",b'500 <= ... < 1000 DM',b'.. >= 7 years',b'2',b'male   : single',b'none',b'4',b'unknown / no property',"b'(45.0, 53.0]'",b'none',b'for free',b'1',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'no checking account',b'12',b'existing credits paid back duly till now',b'radio/television',"b'(1906.8, 2319.5]'",b'100 <= ... <  500 DM',b'4  <= ... < 7 years',b'3',b'male   : single',b'none',b'1',b'unknown / no property',"b'(33.0, 36.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'0 <= ... <  200 DM',b'18',b'existing credits paid back duly till now',b'radio/television',"b'(249.0, 932.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'male   : married/widowed',b'guarantor',b'2',b'real estate',"b'(23.0, 26.0]'",b'none',b'own',b'1',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'no checking account',b'4',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(1479.4, 1906.8]'",b'... <  100 DM',b'4  <= ... < 7 years',b'2',b'male   : single',b'none',b'1',b'real estate',"b'(39.0, 45.0]'",b'none',b'own',b'3',b'unskilled - resident',b'2',b'none',b'yes',b'1'
b'... <    0 DM',b'24',b'existing credits paid back duly till now',b'radio/television',"b'(1479.4, 1906.8]'",b'... <  100 DM',b'unemployed',b'4',b'male   : single',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(28.0, 30.0]'",b'stores',b'own',b'1',b'management/ self-employed/highly qualified employee/ officer',b'2',b'none',b'yes',b'2'
b'0 <= ... <  200 DM',b'6',b'existing credits paid back duly till now',b'car (new)',b'nan',b'unknown/ no savings account',b'unemployed',b'1',b'male   : single',b'none',b'2',b'if not A121 : building society savings agreement/life insurance',"b'(18.0, 23.0]'",b'none',b'own',b'1',b'unemployed/ unskilled  - non-resident',b'1',"b'yes, registered under the customers name'",b'yes',b'2'
b'0 <= ... <  200 DM',b'21',b'existing credits paid back duly till now',b'business',"b'(2319.5, 2852.4]'",b'100 <= ... <  500 DM',b'.. >= 7 years',b'4',b'male   : divorced/separated',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'",b'nan',b'bank',b'rent',b'2',b'unskilled - resident',b'1',b'none',b'yes',b'2'
b'no checking account',b'12',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(1262.0, 1479.4]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'female : divorced/separated/married',b'none',b'2',b'if not A121 : building society savings agreement/life insurance',"b'(33.0, 36.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'... <    0 DM',b'30',b'existing credits paid back duly till now',b'radio/television',"b'(2319.5, 2852.4]'",b'... <  100 DM',b'.. >= 7 years',b'1',b'male   : single',b'guarantor',b'3',b'if not A121 : building society savings agreement/life insurance',"b'(36.0, 39.0]'",b'none',b'own',b'1',b'skilled employee / official',b'2',b'none',b'yes',b'1'
b'... <    0 DM',b'24',b'existing credits paid back duly till now',b'car (new)',"b'(249.0, 932.0]'",b'unknown/ no savings account',b'.. >= 7 years',b'4',b'female : divorced/separated/married',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(28.0, 30.0]'",b'bank',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'no checking account',b'6',b'existing credits paid back duly till now',b'radio/television',"b'(1479.4, 1906.8]'",b'... <  100 DM',b'4  <= ... < 7 years',b'3',b'male   : single',b'none',b'2',b'if not A121 : building society savings agreement/life insurance',"b'(45.0, 53.0]'",b'none',b'own',b'1',b'skilled employee / official',b'2',b'none',b'yes',b'1'
b'... <    0 DM',b'48',b'no credits taken/all credits paid back duly',b'car (used)',"b'(3590.0, 4720.0]'",b'... <  100 DM',b'.. >= 7 years',b'3',b'male   : single',b'none',b'4',b'unknown / no property',"b'(23.0, 26.0]'",b'none',b'for free',b'2',b'skilled employee / official',b'2',b'none',b'yes',b'2'
b'no checking account',b'12',b'critical account/other credits existing (not at this bank)',b'business',"b'(932.0, 1262.0]'",b'... <  100 DM',b'1  <= ... < 4 years',b'3',b'female : divorced/separated/married',b'none',b'2',b'real estate',"b'(26.0, 28.0]'",b'none',b'own',b'2',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'no checking account',b'12',b'all credits at this bank paid back duly',b'retraining',"b'(2852.4, 3590.0]'",b'500 <= ... < 1000 DM',b'1  <= ... < 4 years',b'4',b'female : divorced/separated/married',b'none',b'3',b'real estate',"b'(33.0, 36.0]'",b'none',b'own',b'1',b'unskilled - resident',b'2',b'none',b'yes',b'1'
b'no checking account',b'24',b'existing credits paid back duly till now',b'business',"b'(932.0, 1262.0]'",b'... <  100 DM',b'4  <= ... < 7 years',b'4',b'male   : single',b'none',b'1',b'real estate',"b'(23.0, 26.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'no checking account',b'12',b'critical account/other credits existing (not at this bank)',b'radio/television',"b'(249.0, 932.0]'",b'... <  100 DM',b'.. >= 7 years',b'4',b'male   : single',b'none',b'4',b'real estate',"b'(45.0, 53.0]'",b'none',b'own',b'3',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'no checking account',b'6',b'no credits taken/all credits paid back duly',b'car (new)',"b'(932.0, 1262.0]'",b'100 <= ... <  500 DM',b'1  <= ... < 4 years',b'4',b'male   : single',b'none',b'1',b'unknown / no property',"b'(33.0, 36.0]'",b'bank',b'rent',b'1',b'skilled employee / official',b'1',b'none',b'no',b'1'
b'... >= 200 DM / salary assignments for at least 1 year',b'24',b'existing credits paid back duly till now',b'furniture/equipment',"b'(1906.8, 2319.5]'",b'... <  100 DM',b'1  <= ... < 4 years',b'2',b'male   : single',b'none',b'2',b'real estate',"b'(23.0, 26.0]'",b'none',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'1'
b'no checking account',b'18',b'existing credits paid back duly till now',b'radio/television',"b'(249.0, 932.0]'",b'... <  100 DM',b'unemployed',b'3',b'female : divorced/separated/married',b'co-applicant',b'4',b'real estate',"b'(18.0, 23.0]'",b'none',b'rent',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
b'... <    0 DM',b'6',b'critical account/other credits existing (not at this bank)',b'car (new)',"b'(249.0, 932.0]'",b'.. >= 1000 DM',b'4  <= ... < 7 years',b'3',b'female : divorced/separated/married',b'none',b'4',b'real estate',"b'(36.0, 39.0]'",b'none',b'own',b'2',b'unskilled - resident',b'1',"b'yes, registered under the customers name'",b'yes',b'1'
b'... >= 200 DM / salary assignments for at least 1 year',b'12',b'existing credits paid back duly till now',b'furniture/equipment',"b'(1906.8, 2319.5]'",b'... <  100 DM',b'1  <= ... < 4 years',b'1',b'female : divorced/separated/married',b'none',b'2',"b'if not A121/A122 : car or other, not in attribute 6'","b'(45.0, 53.0]'",b'none',b'own',b'1',b'unskilled - resident',b'1',b'none',b'yes',b'1'
b'0 <= ... <  200 DM',b'30',b'existing credits paid back duly till now',b'car (new)',"b'(1906.8, 2319.5]'",b'... <  100 DM',b'1  <= ... < 4 years',b'4',b'female : divorced/separated/married',b'guarantor',b'2',b'unknown / no property',"b'(23.0, 26.0]'",b'bank',b'own',b'1',b'skilled employee / official',b'1',b'none',b'yes',b'2'
